股票代码,股票名称,历史最高,历史最高日期,距今交易日数,序号,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
601933,永辉超市,5.54,2024-12-02,1,198,永辉超市,5.54,9.92,0.5,2540093.0,1391919676.0,5.75,5.54,5.25,5.3,5.04,0.67,2.8,-484.25,8.68,50275704941.0,50275704941.0,0.0,0.0,146.22,96.45
688469,芯联集成,6.08,2024-12-02,1,2748,芯联集成-U,6.0,1.69,0.1,1896905.0,1129182600.0,4.07,6.08,5.84,5.95,5.9,1.62,4.32,-46.43,3.53,42354522078.0,26375760000.0,0.0,0.0,66.2,19.52
002131,利欧股份,4.04,2024-12-02,1,82,利欧股份,4.04,10.08,0.37,295007.0,119182965.36,0.0,4.04,4.04,4.04,3.67,0.02,0.5,-128.6,2.12,27356881929.0,23638996397.0,0.0,0.0,192.75,79.56
300377,赢时胜,37.8,2024-12-02,1,5612,赢时胜,35.97,-3.93,-1.47,2239043.0,8122044327.58,9.27,37.8,34.33,34.84,37.44,1.16,34.75,-1457.16,9.11,27016170628.0,23175074575.0,0.03,-0.44,545.78,365.93
300679,电连技术,59.35,2024-12-02,1,5191,电连技术,55.44,-0.45,-0.25,145450.0,819632267.72,7.45,59.35,55.2,57.0,55.69,1.15,4.07,38.42,4.94,23494623768.0,19833832862.0,0.14,0.07,78.78,34.76
603296,华勤技术,66.7,2024-12-02,1,523,华勤技术,65.9,5.36,3.35,129556.0,852310270.0,6.08,66.7,62.9,62.96,62.55,1.4,5.32,24.5,3.1,66947191858.0,16050540670.0,0.03,0.15,47.53,17.24
603366,日出东方,22.98,2024-12-02,1,5659,日出东方,19.68,-9.64,-2.1,2117657.0,4421734906.0,15.52,22.98,19.6,19.6,21.78,1.33,26.05,178.46,4.01,16005311060.0,16000786628.0,-0.1,-1.5,427.61,220.0
002563,森马服饰,7.24,2024-12-02,1,1180,森马服饰,6.93,3.43,0.23,441397.0,311280590.0,5.97,7.24,6.84,6.88,6.7,2.42,2.0,18.54,1.63,18670044809.0,15304505416.0,0.43,0.0,55.03,26.69
002320,海峡股份,6.85,2024-12-02,1,189,海峡股份,6.85,9.95,0.62,484950.0,328246065.18,7.06,6.85,6.41,6.41,6.23,1.94,2.18,45.1,3.56,15268192331.0,15268192331.0,0.0,0.0,42.71,19.96
603662,柯力传感,56.14,2024-12-02,1,604,柯力传感,53.6,5.02,2.56,469011.0,2542835688.0,9.91,56.14,51.08,52.0,51.04,1.56,16.7,59.4,5.79,15096945234.0,15052480925.0,0.17,0.0,130.84,50.31
600577,精达股份,6.93,2024-12-02,1,343,精达股份,6.72,6.67,0.42,4302166.0,2821976874.0,12.54,6.93,6.14,6.18,6.3,2.06,20.4,25.56,2.58,14170320689.0,14170320689.0,-0.59,-1.18,44.83,69.27
603009,北特科技,43.03,2024-12-02,1,472,北特科技,41.33,5.65,2.21,332907.0,1388918222.0,6.62,43.03,40.44,40.68,39.12,2.22,9.84,172.56,7.9,13991286523.0,13986442730.0,-0.02,-0.14,162.25,179.82
600292,远达环保,17.05,2024-12-02,1,148,远达环保,17.05,10.0,1.55,349395.0,582114357.0,6.97,17.05,15.97,16.0,15.5,0.59,4.47,112.99,2.56,13312927975.0,13312927975.0,0.0,0.0,256.69,182.28
000061,农 产 品,8.03,2024-12-02,1,3249,农 产 品,7.83,1.29,0.1,210518.0,165233006.46,3.75,8.03,7.74,7.88,7.73,1.14,1.24,31.81,2.13,13287229146.0,13286985437.0,-0.13,-0.13,52.33,23.11
300660,江苏雷利,41.98,2024-12-02,1,45,江苏雷利,40.13,12.41,4.43,518335.0,2038207763.61,14.2,41.98,36.91,37.32,35.7,3.69,16.24,39.91,3.79,12816849782.0,12807159591.0,0.07,0.33,74.55,36.03
688300,联瑞新材,62.6,2024-11-11,16,1043,联瑞新材,60.3,3.72,2.16,81102.0,493632272.0,6.02,62.6,59.1,59.77,58.14,1.78,4.37,45.44,7.77,11200455519.0,11200455519.0,-0.02,-0.12,37.05,14.97
688165,埃夫特,21.89,2024-12-02,1,38,埃夫特-U,20.7,13.49,2.46,807918.0,1669096936.0,15.84,21.89,19.0,19.0,18.24,2.19,15.48,-76.84,6.37,10800846000.0,10800846000.0,-0.34,-1.15,168.13,80.63
002426,胜利精密,3.33,2024-12-02,1,5142,胜利精密,3.13,-0.32,-0.01,4670743.0,1470943890.61,9.87,3.33,3.02,3.07,3.14,1.01,13.73,-278.84,3.23,10650219117.0,10650137659.0,0.0,0.0,76.84,33.76
002204,大连重工,5.49,2024-12-02,1,254,大连重工,5.4,8.22,0.41,1204002.0,643165389.52,10.22,5.49,4.98,5.0,4.99,5.48,6.23,19.8,1.44,10429398173.0,10429398173.0,-0.18,-0.37,35.0,18.94
